name,columns,statistic_name,statistic,pval,is_normal
ngc 6522,5p,MC - Henze-Zirkler,7.752886923161269,0.0,False
ngc 6522,3p,MC - Henze-Zirkler,18.571230743125845,5.513167739622205e-152,False
ngc 6522,5p_color,MC - Henze-Zirkler,47.30952327098912,0.0,False
ngc 6522,7p,MC - Henze-Zirkler,11.639981671110856,0.0,False
ngc 6535,5p,Henze-Zirkler,20.037140072503856,0.0,False
ngc 6535,3p,Henze-Zirkler,63.935983916829436,1.089878233599797e-191,False
ngc 6535,5p_color,Henze-Zirkler,46.46036938972026,0.0,False
ngc 6535,7p,Henze-Zirkler,15.298110637316165,0.0,False
ngc 6528,5p,Henze-Zirkler,4.611315753559562,4.186176426101339e-228,False
ngc 6528,3p,Henze-Zirkler,16.167060598569684,2.523240389923654e-102,False
ngc 6528,5p_color,Henze-Zirkler,22.616831375224983,0.0,False
ngc 6528,7p,Henze-Zirkler,6.61475058088948,0.0,False
ngc 6539,5p,Henze-Zirkler,41.12349858582816,0.0,False
ngc 6539,3p,Henze-Zirkler,166.88372296600903,0.0,False
ngc 6539,5p_color,Henze-Zirkler,111.92370676463261,0.0,False
ngc 6539,7p,Henze-Zirkler,33.09744754211009,0.0,False
ngc 6544,5p,MC - Henze-Zirkler,25.34439782868776,0.0,False
ngc 6544,3p,MC - Henze-Zirkler,99.2234323490656,0.0,False
ngc 6544,5p_color,MC - Henze-Zirkler,85.35309919639387,0.0,False
ngc 6544,7p,MC - Henze-Zirkler,24.46107515347655,0.0,False
ngc 6541,5p,MC - Henze-Zirkler,34.0478737940812,0.0,False
ngc 6541,3p,MC - Henze-Zirkler,92.3322727481351,0.0,False
ngc 6541,5p_color,MC - Henze-Zirkler,120.35782526269796,0.0,False
ngc 6541,7p,MC - Henze-Zirkler,33.170536941083675,0.0,False
ngc 6553,5p,MC - Henze-Zirkler,7.779293381859173,0.0,False
ngc 6553,3p,MC - Henze-Zirkler,22.075931810248548,2.9996343672126953e-160,False
ngc 6553,5p_color,MC - Henze-Zirkler,47.07666859888361,0.0,False
ngc 6553,7p,MC - Henze-Zirkler,11.845352925594192,0.0,False
ngc 6558,5p,Henze-Zirkler,4.521478001124084,1.334158349633926e-296,False
ngc 6558,3p,Henze-Zirkler,13.134279965687652,4.452211269288125e-109,False
ngc 6558,5p_color,Henze-Zirkler,31.64068149142514,0.0,False
ngc 6558,7p,Henze-Zirkler,7.926175363183595,0.0,False
ic 1276,5p,MC - Henze-Zirkler,35.737289902212865,0.0,False
ic 1276,3p,MC - Henze-Zirkler,199.1661124116788,0.0,False
ic 1276,5p_color,MC - Henze-Zirkler,172.3009721800251,0.0,False
ic 1276,7p,MC - Henze-Zirkler,41.67646668946616,0.0,False
ngc 6569,5p,Henze-Zirkler,22.136731169614194,0.0,False
ngc 6569,3p,Henze-Zirkler,93.55846830733404,0.0,False
ngc 6569,5p_color,Henze-Zirkler,63.85113677930363,0.0,False
ngc 6569,7p,Henze-Zirkler,17.072268696961633,0.0,False
ngc 6584,5p,Henze-Zirkler,41.448045303123195,0.0,False
ngc 6584,3p,Henze-Zirkler,104.2498703873052,1.2136173526479671e-307,False
ngc 6584,5p_color,Henze-Zirkler,95.63505085155238,0.0,False
ngc 6584,7p,Henze-Zirkler,31.220334486245335,0.0,False
ngc 6624,5p,MC - Henze-Zirkler,13.96089401414472,0.0,False
ngc 6624,3p,MC - Henze-Zirkler,45.54145139628583,7.761801416547449e-203,False
ngc 6624,5p_color,MC - Henze-Zirkler,71.49207057582456,0.0,False
ngc 6624,7p,MC - Henze-Zirkler,18.427543424310798,0.0,False
ngc 6626,5p,MC - Henze-Zirkler,9.926360706079437,0.0,False
ngc 6626,3p,MC - Henze-Zirkler,26.077119132406157,1.341196722700823e-180,False
ngc 6626,5p_color,MC - Henze-Zirkler,54.698842799215775,0.0,False
ngc 6626,7p,MC - Henze-Zirkler,13.314777894938603,0.0,False
ngc 6638,5p,Henze-Zirkler,8.970668708760577,0.0,False
ngc 6638,3p,Henze-Zirkler,32.61802081117881,3.2066730754983985e-174,False
ngc 6638,5p_color,Henze-Zirkler,30.680815864768473,0.0,False
ngc 6638,7p,Henze-Zirkler,8.50902399351282,0.0,False
ngc 6637,5p,MC - Henze-Zirkler,18.274104325431995,0.0,False
ngc 6637,3p,MC - Henze-Zirkler,48.11729321502164,1.349865789277137e-258,False
ngc 6637,5p_color,MC - Henze-Zirkler,81.46788884500083,0.0,False
ngc 6637,7p,MC - Henze-Zirkler,21.672731651905025,0.0,False
